Species;#Training samples;Regularized training gain;Unregularized training gain;Iterations;Training AUC;#Test samples;Test gain;Test AUC;AUC Standard Deviation;#Background points;Clorofila contribution;Profmezcla contribution;Salinidad contribution;Temperatura contribution;Clorofila permutation importance;Profmezcla permutation importance;Salinidad permutation importance;Temperatura permutation importance;Training gain without Clorofila;Training gain without Profmezcla;Training gain without Salinidad;Training gain without Temperatura;Training gain with only Clorofila;Training gain with only Profmezcla;Training gain with only Salinidad;Training gain with only Temperatura;Test gain without Clorofila;Test gain without Profmezcla;Test gain without Salinidad;Test gain without Temperatura;Test gain with only Clorofila;Test gain with only Profmezcla;Test gain with only Salinidad;Test gain with only Temperatura;AUC without Clorofila;AUC without Profmezcla;AUC without Salinidad;AUC without Temperatura;AUC with only Clorofila;AUC with only Profmezcla;AUC with only Salinidad;AUC with only Temperatura;Entropy;Prevalence (average probability of presence over background sites);Fixed cumulative value 1 cumulative threshold;Fixed cumulative value 1 Cloglog threshold;Fixed cumulative value 1 area;Fixed cumulative value 1 training omission;Fixed cumulative value 1 test omission;Fixed cumulative value 1 binomial probability;Fixed cumulative value 5 cumulative threshold;Fixed cumulative value 5 Cloglog threshold;Fixed cumulative value 5 area;Fixed cumulative value 5 training omission;Fixed cumulative value 5 test omission;Fixed cumulative value 5 binomial probability;Fixed cumulative value 10 cumulative threshold;Fixed cumulative value 10 Cloglog threshold;Fixed cumulative value 10 area;Fixed cumulative value 10 training omission;Fixed cumulative value 10 test omission;Fixed cumulative value 10 binomial probability;Minimum training presence cumulative threshold;Minimum training presence Cloglog threshold;Minimum training presence area;Minimum training presence training omission;Minimum training presence test omission;Minimum training presence binomial probability;10 percentile training presence cumulative threshold;10 percentile training presence Cloglog threshold;10 percentile training presence area;10 percentile training presence training omission;10 percentile training presence test omission;10 percentile training presence binomial probability;Equal training sensitivity and specificity cumulative threshold;Equal training sensitivity and specificity Cloglog threshold;Equal training sensitivity and specificity area;Equal training sensitivity and specificity training omission;Equal training sensitivity and specificity test omission;Equal training sensitivity and specificity binomial probability;Maximum training sensitivity plus specificity cumulative threshold;Maximum training sensitivity plus specificity Cloglog threshold;Maximum training sensitivity plus specificity area;Maximum training sensitivity plus specificity training omission;Maximum training sensitivity plus specificity test omission;Maximum training sensitivity plus specificity binomial probability;Equal test sensitivity and specificity cumulative threshold;Equal test sensitivity and specificity Cloglog threshold;Equal test sensitivity and specificity area;Equal test sensitivity and specificity training omission;Equal test sensitivity and specificity test omission;Equal test sensitivity and specificity binomial probability;Maximum test sensitivity plus specificity cumulative threshold;Maximum test sensitivity plus specificity Cloglog threshold;Maximum test sensitivity plus specificity area;Maximum test sensitivity plus specificity training omission;Maximum test sensitivity plus specificity test omission;Maximum test sensitivity plus specificity binomial probability;Balance training omission, predicted area and threshold value cumulative threshold;Balance training omission, predicted area and threshold value Cloglog threshold;Balance training omission, predicted area and threshold value area;Balance training omission, predicted area and threshold value training omission;Balance training omission, predicted area and threshold value test omission;Balance training omission, predicted area and threshold value binomial probability;Equate entropy of thresholded and original distributions cumulative threshold;Equate entropy of thresholded and original distributions Cloglog threshold;Equate entropy of thresholded and original distributions area;Equate entropy of thresholded and original distributions training omission;Equate entropy of thresholded and original distributions test omission;Equate entropy of thresholded and original distributions binomial probability
SPZn_0;221;0.8214;10.274;500;0.8759;25;0.9189;0.8619;0.0224;3799;754.901;55.636;22.908;166.556;649.244;124.056;34.795;191.905;0.5294;0.7475;0.7985;0.6706;0.5523;0.3104;0.2136;0.0733;0.6277;0.7979;0.9505;0.8377;0.6413;0.3729;0.3346;0.1969;0.8011;0.8301;0.8700;0.8505;0.7458;0.7382;0.7508;0.6697;74.217;0.2653;10.000;0.0657;0.5767;0.0045;0.0000;1,06E-03;50.000;0.2367;0.4749;0.0181;0.0000;8,21E-06;100.000;0.3068;0.4056;0.0362;0.0000;1,60E-07;0.6940;0.0386;0.6020;0.0000;0.0000;3.09E-6;216.817;0.4363;0.2948;0.0995;0.2000;2,53E-04;352.192;0.5166;0.2037;0.2036;0.2400;3,64E-06;211.712;0.4316;0.2985;0.0905;0.2000;3,16E-04;294.390;0.4897;0.2401;0.1629;0.2400;6.33E-8;148.828;0.3674;0.3530;0.0679;0.0000;4,94E-09;19.374;0.1407;0.5380;0.0045;0.0000;1,86E-04;73.487;0.2737;0.4399;0.0271;0.0000;1.21E-9
SPZn_1;221;0.8063;10.105;500;0.8710;25;10.783;0.8878;0.0207;3799;751.166;65.542;30.844;152.448;649.525;131.473;35.385;183.617;0.5191;0.7377;0.7845;0.6615;0.5522;0.3044;0.2222;0.0880;0.7581;0.9162;11.054;0.9258;0.6498;0.4327;0.2573;0.0679;0.8243;0.8555;0.8901;0.8707;0.7893;0.7480;0.6938;0.6215;74.378;0.2702;10.000;0.0683;0.5733;0.0045;0.0000;9,11E-04;50.000;0.2446;0.4722;0.0181;0.0000;7,14E-06;100.000;0.3252;0.4056;0.0317;0.0400;6.01E-9;0.6452;0.0371;0.6031;0.0000;0.0000;3,23E-03;180.325;0.4124;0.3264;0.0995;0.0400;3,67E-08;334.276;0.5210;0.2195;0.2217;0.1200;3,70E-09;149.590;0.3739;0.3540;0.0633;0.0400;2,48E-07;401.075;0.5596;0.1811;0.2489;0.2000;2,97E-08;308.081;0.5033;0.2359;0.2036;0.0800;6,69E-10;18.607;0.1407;0.5380;0.0045;0.0000;1,86E-04;67.291;0.2761;0.4470;0.0226;0.0400;5,77E-05
SPZn_2;221;0.8257;10.293;500;0.8723;25;0.8916;0.8592;0.0288;3799;771.105;60.160;0.8916;159.820;683.017;134.410;18.154;164.419;0.5288;0.7471;0.8147;0.6957;0.5709;0.3226;0.2235;0.0793;0.6629;0.8282;0.8388;0.6426;0.4934;0.2737;0.2652;0.1461;0.8147;0.8426;0.8485;0.7965;0.7218;0.7033;0.6933;0.6308;74.182;0.2643;10.000;0.0627;0.5765;0.0045;0.0000;1,05E-03;50.000;0.2293;0.4683;0.0090;0.0800;2.41E-6;100.000;0.3106;0.3980;0.0362;0.0800;7,20E-05;0.6894;0.0351;0.6036;0.0000;0.0000;3,30E-03;190.042;0.4202;0.3096;0.0995;0.1200;5,02E-06;319.376;0.5164;0.2214;0.2217;0.2000;1,30E-06;196.353;0.4285;0.3048;0.1041;0.1200;3,65E-06;339.784;0.5283;0.2090;0.2262;0.2000;4,44E-07;296.012;0.4993;0.2359;0.2036;0.1200;1,69E-08;18.200;0.1266;0.5396;0.0045;0.0000;2,01E-04;69.491;0.2615;0.4383;0.0181;0.0800;5,81E-04
SPZn_3;221;0.8554;10.490;500;0.8756;25;0.6226;0.8066;0.0353;3799;784.541;55.747;11.140;148.573;687.362;129.772;19.572;163.295;0.5484;0.7736;0.8446;0.7306;0.6034;0.3404;0.2280;0.0749;0.4629;0.5815;0.5637;0.3042;0.1907;0.1053;0.1987;0.1856;0.7692;0.7922;0.7940;0.7492;0.6986;0.6771;0.6520;0.6321;73.882;0.2567;10.000;0.0652;0.5583;0.0000;0.0400;9,76E-03;50.000;0.2150;0.4454;0.0271;0.0400;5,31E-05;100.000;0.3108;0.3756;0.0543;0.2800;5,00E-01;14.338;0.0986;0.5362;0.0000;0.0400;3,87E-03;201.982;0.4572;0.2864;0.0995;0.3600;2,52E-01;324.254;0.5327;0.2114;0.2127;0.3600;4,44E-03;201.982;0.4572;0.2864;0.0995;0.3600;2,52E-01;165.449;0.4096;0.3138;0.0905;0.3200;1.83E-4;59.830;0.2361;0.4293;0.0362;0.0400;2.26E-8;14.338;0.0986;0.5362;0.0000;0.0400;3,87E-03;62.358;0.2399;0.4254;0.0362;0.0800;3,05E-04
SPZn_4;221;0.8221;10.190;500;0.8732;25;0.9532;0.8564;0.0312;3799;752.764;71.461;18.781;156.995;643.828;142.167;39.519;174.486;0.5156;0.7368;0.8033;0.6794;0.5519;0.3076;0.2103;0.0750;0.7768;0.9059;0.9578;0.7758;0.6474;0.4068;0.3683;0.1819;0.8369;0.8567;0.8663;0.8325;0.7598;0.7652;0.7551;0.6352;74.196;0.2647;10.000;0.0624;0.5767;0.0045;0.0000;1,06E-03;50.000;0.2194;0.4646;0.0226;0.0800;2,04E-03;100.000;0.3043;0.3930;0.0452;0.0800;5,47E-05;0.7262;0.0398;0.5996;0.0000;0.0000;2.8E-6;186.274;0.4292;0.3106;0.0995;0.1200;5,39E-06;340.590;0.5326;0.2095;0.2081;0.2800;6,21E-05;268.202;0.4954;0.2538;0.1448;0.2400;1.64E-7;288.109;0.5033;0.2409;0.1629;0.2400;6,70E-05;186.610;0.4294;0.3101;0.1041;0.1200;5,20E-06;18.368;0.1217;0.5388;0.0045;0.0000;1,93E-04;65.751;0.2519;0.4391;0.0271;0.0800;6,04E-04
SPZn_5;221;0.8172;10.161;500;0.8716;25;0.9823;0.8538;0.0286;3799;764.855;50.665;21.128;163.352;642.727;137.547;43.001;176.725;0.5050;0.7352;0.7948;0.6781;0.5593;0.3097;0.2172;0.0893;0.8716;0.9266;10.221;0.7861;0.5953;0.3920;0.3031;0.0598;0.8635;0.8497;0.8617;0.8285;0.7821;0.7289;0.7291;0.5628;74.265;0.2666;10.000;0.0614;0.5765;0.0045;0.0000;1,05E-03;50.000;0.2295;0.4678;0.0181;0.0000;5,63E-06;100.000;0.3091;0.3983;0.0452;0.1200;8,74E-04;0.7113;0.0364;0.6023;0.0000;0.0000;3,12E-03;175.211;0.4067;0.3227;0.0995;0.1600;1,41E-04;340.691;0.5351;0.2108;0.2127;0.2400;6,64E-06;219.325;0.4620;0.2885;0.1222;0.2400;1,44E-03;291.980;0.5074;0.2401;0.1900;0.2400;6.33E-8;78.421;0.2820;0.4251;0.0362;0.0000;5,16E-07;18.412;0.1265;0.5386;0.0045;0.0000;1,91E-04;66.557;0.2608;0.4420;0.0362;0.0000;1,36E-06
SPZn_6;222;0.7982;0.9946;500;0.8696;24;11.305;0.8909;0.0197;3799;761.103;55.992;18.264;164.641;658.280;137.194;33.974;170.552;0.4961;0.7215;0.7813;0.6713;0.5506;0.2912;0.2173;0.0788;0.9482;10.429;11.193;0.8429;0.6709;0.5509;0.3166;0.1509;0.8850;0.8780;0.8890;0.8445;0.7844;0.8036;0.6980;0.6369;74.477;0.2728;10.000;0.0665;0.5799;0.0045;0.0000;2,09E-03;50.000;0.2415;0.4767;0.0180;0.0000;1,90E-05;100.000;0.3174;0.4085;0.0450;0.0000;4.67E-10;0.7280;0.0412;0.6023;0.0000;0.0000;5,19E-03;186.268;0.4236;0.3227;0.0991;0.0833;2,06E-06;338.967;0.5298;0.2180;0.2162;0.1250;1,28E-08;174.119;0.4056;0.3327;0.0811;0.0000;3,39E-09;404.531;0.5635;0.1808;0.2568;0.1667;6,98E-09;383.084;0.5536;0.1927;0.2432;0.1250;1,06E-09;20.043;0.1450;0.5386;0.0045;0.0000;3,55E-04;66.766;0.2739;0.4514;0.0270;0.0000;5,13E-06
SPZn_7;222;0.8353;10.373;500;0.8746;24;0.8404;0.8400;0.0279;3799;759.408;67.261;19.437;153.894;653.009;139.548;33.763;173.680;0.5335;0.7423;0.8141;0.7013;0.5582;0.3264;0.2204;0.0831;0.6273;0.8786;0.8623;0.5968;0.6041;0.2468;0.2908;0.1164;0.7888;0.8510;0.8443;0.7856;0.7592;0.6881;0.6883;0.6359;74.076;0.2611;10.000;0.0598;0.5807;0.0045;0.0000;2.16E-6;50.000;0.2188;0.4701;0.0180;0.0000;1,36E-05;100.000;0.2938;0.3972;0.0450;0.0833;1,60E-04;0.7507;0.0381;0.6017;0.0000;0.0000;5,08E-03;174.916;0.3906;0.3196;0.0991;0.1667;3,08E-04;338.618;0.5188;0.2072;0.2072;0.3333;1,50E-03;150.885;0.3607;0.3419;0.0631;0.1667;1,05E-03;269.814;0.4830;0.2501;0.1847;0.2500;3,90E-04;62.695;0.2434;0.4493;0.0270;0.0000;4,59E-06;20.792;0.1335;0.5346;0.0045;0.0000;2,97E-04;73.082;0.2590;0.4338;0.0360;0.0417;6,38E-05
SPZn_8;222;0.8220;10.176;500;0.8718;24;0.9358;0.8641;0.0246;3799;752.491;62.266;28.341;156.902;659.993;133.961;28.705;177.340;0.5382;0.7354;0.7996;0.6923;0.5576;0.3246;0.2226;0.0719;0.5713;0.9297;0.9764;0.6779;0.6070;0.2605;0.2649;0.2144;0.7917;0.8637;0.8737;0.8062;0.7532;0.6905;0.6745;0.6662;74.223;0.2653;10.000;0.0635;0.5796;0.0045;0.0000;2,07E-03;50.000;0.2200;0.4712;0.0225;0.0417;4,01E-04;100.000;0.3099;0.3998;0.0405;0.0417;1,03E-05;0.6774;0.0345;0.6086;0.0000;0.0000;6,66E-03;184.281;0.4138;0.3161;0.0991;0.0417;5,26E-08;330.371;0.5157;0.2161;0.2162;0.2500;3.61E-8;161.238;0.3818;0.3364;0.0721;0.0417;2,13E-07;305.293;0.5022;0.2316;0.1982;0.2500;1,13E-04;213.430;0.4464;0.2932;0.1306;0.0417;9,61E-09;22.465;0.1476;0.5301;0.0045;0.0000;2,43E-04;69.333;0.2602;0.4401;0.0270;0.0417;8,80E-05
SPZn_9;222;0.7975;0.9943;500;0.8709;24;11.679;0.8896;0.0220;3799;770.310;59.620;15.430;154.641;667.473;115.832;19.869;196.826;0.5242;0.7300;0.7848;0.6581;0.5544;0.3151;0.2136;0.0844;0.7094;0.9993;11.184;0.9573;0.6409;0.3308;0.3390;0.1015;0.8125;0.8592;0.8778;0.8729;0.7580;0.7123;0.7469;0.5979;74.451;0.2722;10.000;0.0648;0.5791;0.0045;0.0000;2,02E-03;50.000;0.2367;0.4733;0.0180;0.0000;1,60E-05;100.000;0.3182;0.4043;0.0360;0.0000;3,64E-07;0.6780;0.0346;0.6078;0.0000;0.0000;6,46E-03;185.519;0.4188;0.3211;0.0991;0.0833;1.86E-9;349.914;0.5395;0.2116;0.2117;0.1667;1,40E-07;223.737;0.4686;0.2922;0.1171;0.1250;4,56E-06;421.979;0.5766;0.1716;0.2748;0.1667;2,56E-09;421.979;0.5766;0.1716;0.2748;0.1667;2,56E-09;21.999;0.1519;0.5315;0.0045;0.0000;2,58E-04;64.908;0.2659;0.4504;0.0270;0.0000;4,85E-06
SPZn (average);2.214.000;0.8201;10.195;5.000.000;0.8727;246.000;0.9521;0.8610;0.0261;37.990.000;762.264;60.435;19.519;157.782;659.446;132.596;30.674;177.285;0.5238;0.7407;0.8020;0.6839;0.5611;0.3152;0.2189;0.0798;0.7016;0.8807;0.9515;0.7347;0.5741;0.3372;0.2939;0.1421;0.8188;0.8479;0.8615;0.8237;0.7552;0.7255;0.7082;0.6289;74.235;0.2659;10.000;0.0640;0.5757;0.0040;0.0040;0.0000;50.000;0.2292;0.4684;0.0189;0.0242;0.0000;100.000;0.3106;0.3986;0.0415;0.0725;0.0001;0.7734;0.0434;0.5967;0.0000;0.0040;0.0000;188.163;0.4209;0.3130;0.0993;0.1375;0.0000;336.925;0.5258;0.2129;0.2132;0.2315;0.0000;195.714;0.4265;0.3089;0.0958;0.1533;0.0000;318.240;0.5123;0.2259;0.1996;0.2273;0.0000;215.897;0.4137;0.3096;0.1327;0.0693;0.0000;19.260;0.1333;0.5364;0.0040;0.0040;0.0000;67.902;0.2623;0.4407;0.0284;0.0363;0.0000
